OTU_ID	k	p	c	o	f	g	s
OTU_2301	d:Fungi	p:Basidiomycota	c:Exobasidiomycetes	o:Exobasidiales	f:Exobasidiaceae	g:Exobasidium	s:Exobasidium_woronichinii
OTU_2303	d:Fungi	p:Ascomycota	c:Leotiomycetes				
OTU_2294	d:Fungi	p:Basidiomycota					
OTU_2297	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales			
OTU_2308	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Embellisia	s:Embellisia_abundans
OTU_2305	d:Fungi						
OTU_2307	d:Fungi	p:Ascomycota					
OTU_2304	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Eupenicillium	s:Penicillium_glabrum
OTU_2310	d:Fungi						
OTU_2311	d:Fungi						
OTU_2309	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_funicola
OTU_2306	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales			
OTU_2317	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae		
OTU_2312	d:Fungi	p:Ascomycota					
OTU_2318	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_2316	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales			
OTU_2319	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Melanosporales	f:Ceratostomataceae	g:Harzia	s:Harzia_acremonioides
OTU_2320	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Meruliaceae		
OTU_2314	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales			
OTU_2322	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Botryosphaeriales	f:Botryosphaeriaceae	g:Botryosphaeria	
OTU_2328	d:Fungi						
OTU_2323	d:Fungi						
OTU_2321	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Helotiaceae	g:Crocicreas	s:Crocicreas_cyathoideum
OTU_2315	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Metschnikowiaceae	g:Clavispora	s:Clavispora_lusitaniae
OTU_2325	d:Fungi						
OTU_2329	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Thelephorales	f:Thelephoraceae		
OTU_2313	d:Fungi	p:Basidiomycota					
OTU_2331	d:Fungi						
OTU_2333	d:Fungi						
OTU_2326	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariomycetidae_Incertae_sedis	f:Magnaporthaceae		
OTU_2324	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales			
OTU_2334	d:Fungi						
OTU_2327	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Mycosphaerellaceae		
OTU_2330	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariomycetes_Incertae_sedis	f:Sordariomycetes_Incertae_sedis	g:Myrmecridium	s:Myrmecridium_schulzeri
OTU_2337	d:Fungi						
OTU_2332	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Vibrisseaceae	g:Phialocephala	s:Phialocephala_cf_fortinii_TV_2003
OTU_2338	d:Fungi						
OTU_2336	d:Fungi	p:Ascomycota					
OTU_2342	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Cantharellales	f:Ceratobasidiaceae	g:Ceratobasidium	
OTU_2341	d:Fungi	p:Basidiomycota					
OTU_2345	d:Fungi						
OTU_2343	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Hypocrea	
OTU_2344	d:Fungi	p:Ascomycota					
OTU_2335	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Glomus	s:Glomus_sp_8_SUN_2011
OTU_2346	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Auriculariales	f:Auriculariales_Incertae_sedis		
OTU_2340	d:Fungi						
OTU_2352	d:Fungi						
OTU_2348	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Auriculariales	f:Auriculariales_Incertae_sedis		
OTU_2350	d:Fungi						
OTU_2353	d:Fungi						
OTU_2339	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	s:Cryptococcus_aureus
OTU_2354	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Polyporaceae		
OTU_2349	d:Fungi						
OTU_2347	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae		
OTU_2359	d:Fungi						
OTU_2356	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreales_Incertae_sedis	g:Acremonium	
OTU_2358	d:Fungi	p:Ascomycota					
OTU_2357	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Sebacinales	f:Sebacinales_Group_A	g:Sebacina	s:Sebacina_vermifera
OTU_2351	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellales_Incertae_sedis	g:Hannaella	
OTU_2355	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Rhytismatales	f:Rhytismataceae	g:Therrya	s:Therrya_fuckelii
OTU_2363	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_2362	d:Fungi						
OTU_2360	d:Fungi	p:Basidiomycota	c:Tremellomycetes				
OTU_2364	d:Fungi						
OTU_2366	d:Fungi						
OTU_2368	d:Fungi						
OTU_2371	d:Fungi						
OTU_2361	d:Fungi	p:Basidiomycota					
OTU_2365	d:Fungi	p:Ascomycota					
OTU_2367	d:Fungi						
OTU_2372	d:Fungi	p:Zygomycota	c:Mucoromycotina_Incertae_sedis	o:Mucorales	f:Mucoraceae	g:Mucor	s:Mucor_hiemalis
OTU_2374	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Diaporthales	f:Gnomoniaceae	g:Apiognomonia	s:Apiognomonia_hystrix
OTU_2370	d:Fungi						
OTU_2375	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Drechslera	s:Drechslera_phlei
OTU_2369	d:Fungi	p:Ascomycota					
OTU_2377	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Russulales	f:Peniophoraceae		
OTU_2379	d:Fungi						
OTU_2380	d:Fungi						
OTU_2376	d:Fungi	p:Ascomycota					
OTU_2384	d:Fungi						
OTU_2378	d:Fungi	p:Ascomycota					
OTU_2373	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Paraglomerales	f:Paraglomeraceae	g:Paraglomus	s:Paraglomus_laccatum
OTU_2381	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_2383	d:Fungi						
OTU_2386	d:Fungi	p:Ascomycota					
OTU_2390	d:Fungi	p:Ascomycota					
OTU_2385	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_2391	d:Fungi						
OTU_2387	d:Fungi						
OTU_2393	d:Fungi						
OTU_2388	d:Fungi	p:Ascomycota	c:Archaeorhizomycetes	o:Archaeorhizomycetales	f:Archaeorhizomycetaceae	g:Archaeorhizomyces	s:Archaeorhizomyces_finlayi
OTU_2382	d:Fungi	p:Zygomycota	c:Mucoromycotina_Incertae_sedis	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_exigua
OTU_2394	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Atheliales	f:Atheliaceae	g:Athelia	s:Athelia_bombacina
OTU_2392	d:Fungi	p:Basidiomycota					
OTU_2396	d:Fungi						
OTU_2397	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Polyporaceae	g:Polyporus	s:Polyporus_squamosus
OTU_2389	d:Fungi	p:Glomeromycota	c:Glomeromycetes				
OTU_2401	d:Fungi						
OTU_2400	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Cantharellales	f:Ceratobasidiaceae	g:Ceratobasidium	s:Ceratobasidium_sp_AG_Bo
OTU_2395	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Cochliobolus	s:Bipolaris_zeicola
OTU_2403	d:Fungi						
OTU_2399	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales			
OTU_2398	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Trichocomaceae	g:Penicillium	
OTU_2405	d:Fungi						
OTU_2406	d:Fungi						
OTU_2409	d:Fungi						
OTU_2402	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_2410	d:Fungi	p:Ascomycota					
OTU_2411	d:Fungi						
OTU_2414	d:Fungi						
OTU_2412	d:Fungi	p:Zygomycota	c:Zoopagomycotina_Incertae_sedis	o:Zoopagales	f:Piptocephalidaceae	g:Piptocephalis	s:Piptocephalis_corymbifera
OTU_2408	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Auriculariales	f:Auriculariales_Incertae_sedis	g:Exidia	s:Exidia_glandulosa
OTU_2404	d:Fungi						
OTU_2413	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_2416	d:Fungi						
OTU_2417	d:Fungi						
OTU_2407	d:Fungi						
OTU_2418	d:Fungi	p:Ascomycota					
OTU_2419	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_2422	d:Fungi						
OTU_2424	d:Fungi	p:Basidiomycota	c:Ustilaginomycetes	o:Ustilaginales	f:Ustilaginaceae	g:Ustilago	s:Ustilago_bullata
OTU_2420	d:Fungi						
OTU_2426	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Phanerochaetaceae	g:Phanerochaete	s:Phanerochaete_sordida
OTU_2425	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Diaporthales	f:Valsaceae	g:Valsa	s:Valsa_leucostoma
OTU_2415	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_2427	d:Fungi						
OTU_2421	d:Fungi						
OTU_2429	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Hebelomataceae	g:Hebeloma	
OTU_2430	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Phaeosphaeria	s:Phaeosphaeria_herpotrichoides
OTU_2431	d:Fungi	p:Ascomycota					
OTU_2428	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_2423	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Dothideomycetes_Incertae_sedis	f:Dothideomycetes_Incertae_sedis	g:Rhizopycnis	s:Rhizopycnis_vagum
OTU_2432	d:Fungi	p:Ascomycota					
OTU_2433	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Coprinopsis	
OTU_2435	d:Fungi	p:Ascomycota	c:Dothideomycetes				
OTU_2434	d:Fungi	p:Ascomycota					
OTU_2438	d:Fungi						
OTU_2437	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Erysiphales	f:Erysiphaceae	g:Erysiphe	s:Oidium_neolycopersici
OTU_2441	d:Fungi						
OTU_2440	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Diaporthales	f:Cryphonectriaceae		
OTU_2444	d:Fungi						
OTU_2443	d:Fungi	p:Basidiomycota	c:Ustilaginomycetes	o:Ustilaginales	f:Ustilaginaceae	g:Sporisorium	s:Sporisorium_panici_leucophaei
OTU_2442	d:Fungi						
OTU_2446	d:Fungi						
OTU_2448	d:Fungi						
OTU_2449	d:Fungi						
OTU_2439	d:Fungi						
OTU_2445	d:Fungi	p:Ascomycota					
OTU_2436	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Glomus	s:Glomus_indicum
OTU_2447	d:Fungi	p:Ascomycota					
OTU_2455	d:Fungi						
OTU_2453	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_2450	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Dothideomycetes_Incertae_sedis	f:Myxotrichaceae	g:Oidiodendron	s:Oidiodendron_scytaloides
OTU_2456	d:Fungi						
OTU_2452	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Hyaloscyphaceae	g:Calycina	s:Calycina_herbarum
OTU_2458	d:Fungi	p:Ascomycota					
OTU_2460	d:Fungi						
OTU_2461	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Hyphodermataceae	g:Hypochnicium	
OTU_2457	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_2459	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Leptosphaeriaceae	g:Paraphoma	s:Paraphoma_chrysanthemicola
OTU_2463	d:Fungi						
OTU_2451	d:Fungi						
OTU_2454	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Mycosphaerellaceae	g:Mycosphaerella	
OTU_2468	d:Fungi						
OTU_2469	d:Fungi	p:Chytridiomycota	c:Chytridiomycetes	o:Spizellomycetales	f:Spizellomycetaceae	g:Spizellomyces	s:Spizellomyces_dolichospermus
OTU_2464	d:Fungi	p:Zygomycota	c:Mucoromycotina_Incertae_sedis	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_humilis
OTU_2467	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Polyporaceae	g:Perenniporia	s:Fomitella_fraxinea
OTU_2470	d:Fungi	p:Chytridiomycota	c:Chytridiomycetes	o:Spizellomycetales	f:Spizellomycetaceae	g:Spizellomyces	s:Spizellomyces_dolichospermus
OTU_2462	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales			
OTU_2471	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Amphisphaeriaceae	g:Pestalotiopsis	
OTU_2472	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Psathyrella	s:Psathyrella_pygmaea
OTU_2477	d:Fungi						
OTU_2465	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_2475	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Coprinopsis	s:Coprinopsis_jonesii
OTU_2478	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales			
OTU_2466	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Rhizophagus	s:Rhizophagus_irregularis
OTU_2479	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_2480	d:Fungi						
OTU_2476	d:Fungi						
OTU_2473	d:Fungi						
OTU_2486	d:Fungi						
OTU_2474	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Mycosphaerellaceae	g:Mycosphaerella	s:Mycosphaerella_madeirae
OTU_2487	d:Fungi						
OTU_2481	d:Fungi						
OTU_2484	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_2485	d:Fungi						
OTU_2482	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Mycosphaerellaceae	g:Dissoconium	s:Dissoconium_aciculare
OTU_2489	d:Fungi						
OTU_2483	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporales_Incertae_sedis	g:Phoma	s:Phoma_paspali
OTU_2488	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Tubeufiaceae	g:Tubeufia	s:Tubeufia_cerea
OTU_2494	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales			
OTU_2497	d:Fungi						
OTU_2492	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Botryosphaeriales	f:Botryosphaeriaceae	g:Botryosphaeria	s:Botryosphaeria_corticola
OTU_2496	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Erysiphales	f:Erysiphaceae	g:Golovinomyces	s:Golovinomyces_cichoracearum
OTU_2493	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Capnodiales	f:Teratosphaeriaceae	g:Devriesia	s:Devriesia_imbrexigena
OTU_2491	d:Fungi	p:Basidiomycota					
OTU_2499	d:Fungi						
OTU_2500	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Marasmiaceae	g:Flagelloscypha	s:Flagelloscypha_minutissima
OTU_2503	d:Fungi						
OTU_2490	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae		
OTU_2498	d:Fungi	p:Ascomycota	c:Pezizomycotina_Incertae_sedis	o:Pezizomycotina_Incertae_sedis	f:Pezizomycotina_Incertae_sedis	g:Torula	s:Torula_caligans
OTU_2501	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Ophiocordycipitaceae	g:Ophiocordyceps	s:Isaria_takamizusanensis
OTU_2504	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Coprinellus	
OTU_2506	d:Fungi						
OTU_2505	d:Fungi						
OTU_2507	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Bolbitiaceae	g:Conocybe	s:Conocybe_rickenii
OTU_2508	d:Fungi						
OTU_2510	d:Fungi						
OTU_2512	d:Fungi						
OTU_2515	d:Fungi						
OTU_2495	d:Fungi	p:Basidiomycota	c:Tremellomycetes				
OTU_2516	d:Fungi						
OTU_2502	d:Fungi						
OTU_2509	d:Fungi	p:Ascomycota					
OTU_2514	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Cladorrhinum	s:Cladorrhinum_bulbillosum
OTU_2518	d:Fungi						
OTU_2517	d:Fungi						
OTU_2519	d:Fungi						
OTU_2521	d:Fungi						
OTU_2511	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Dipodascaceae		
OTU_2513	d:Fungi						
OTU_2520	d:Fungi	p:Ascomycota					
OTU_2526	d:Fungi						
OTU_2525	d:Fungi	p:Ascomycota					
OTU_2522	d:Fungi						
OTU_2523	d:Fungi	p:Ascomycota					
OTU_2528	d:Fungi						
OTU_2530	d:Fungi						
OTU_2534	d:Fungi	p:Ascomycota					
OTU_2532	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Hypocreaceae	g:Hypocrea	
OTU_2529	d:Fungi						
OTU_2535	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Meripilaceae	g:Grifola	s:Grifola_frondosa
OTU_2527	d:Fungi						
OTU_2531	d:Fungi						
OTU_2524	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_2536	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Diaporthales	f:Diaporthaceae	g:Phomopsis	
OTU_2537	d:Fungi	p:Ascomycota					
OTU_2543	d:Fungi						
OTU_2533	d:Fungi	p:Ascomycota					
OTU_2539	d:Fungi						
OTU_2538	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Diaporthales	f:Diaporthaceae	g:Diaporthe	
OTU_2545	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_2546	d:Fungi						
OTU_2540	d:Fungi	p:Ascomycota					
OTU_2542	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Diaporthales	f:Diaporthaceae	g:Diaporthe	
OTU_2547	d:Fungi						
OTU_2544	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Coniochaetales	f:Coniochaetaceae		
OTU_2548	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Steccherinaceae	g:Junghuhnia	s:Junghuhnia_nitida
OTU_2549	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Leucoagaricus	s:Leucoagaricus_serenus
OTU_2552	d:Fungi						
OTU_2555	d:Fungi						
OTU_2553	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Erysiphales	f:Erysiphaceae	g:Erysiphe	s:Erysiphe_pulchra
OTU_2556	d:Fungi						
OTU_2541	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Glomus	
OTU_2557	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_2551	d:Fungi	p:Basidiomycota					
OTU_2559	d:Fungi						
OTU_2560	d:Fungi	p:Ascomycota					
OTU_2558	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_2561	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Ampelomyces	s:Ampelomyces_sp_LK_2010
OTU_2554	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_2562	d:Fungi						
OTU_2566	d:Fungi						
OTU_2567	d:Fungi						
OTU_2550	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Diversisporales	f:Gigasporaceae		
OTU_2563	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Diaporthales	f:Diaporthaceae	g:Diaporthe	
OTU_2565	d:Fungi	p:Ascomycota					
OTU_2570	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales			
OTU_2574	d:Fungi	p:Basidiomycota	c:Exobasidiomycetes	o:Tilletiales	f:Tilletiaceae	g:Tilletia	s:Tilletia_bromi
OTU_2568	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Dothideomycetes_Incertae_sedis	f:Pseudeurotiaceae	g:Teberdinia	
OTU_2576	d:Fungi						
OTU_2575	d:Fungi						
OTU_2571	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_2564	d:Fungi	p:Ascomycota					
OTU_2572	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariomycetidae_Incertae_sedis	f:Glomerellaceae	g:Glomerella	
OTU_2569	d:Fungi						
OTU_2577	d:Fungi						
OTU_2573	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Thelebolales	f:Thelebolaceae	g:Thelebolus	s:Thelebolus_globosus
OTU_2580	d:Fungi						
OTU_2583	d:Fungi						
OTU_2579	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Polyporales	f:Steccherinaceae	g:Steccherinum	s:Steccherinum_ochraceum
OTU_2582	d:Fungi						
OTU_2584	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Boletales	f:Suillaceae	g:Suillus	s:Suillus_luteus
OTU_2586	d:Fungi						
OTU_2578	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Xylariaceae	g:Daldinia	s:Daldinia_childiae
OTU_2585	d:Fungi	p:Zygomycota	c:Entomophthoromycotina_Incertae_sedis	o:Entomophthorales	f:Basidiobolaceae	g:Basidiobolus	s:Basidiobolus_haptosporus
OTU_2590	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales	f:Saccharomycetaceae	g:Lachancea	s:Lachancea_thermotolerans
OTU_2589	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_2593	d:Fungi						
OTU_2591	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Erysiphales	f:Erysiphaceae	g:Erysiphe	
OTU_2592	d:Fungi						
OTU_2581	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Botryosphaeriales	f:Botryosphaeriaceae	g:Microdiplodia	s:Microdiplodia_miyakei
OTU_2595	d:Fungi						
OTU_2596	d:Fungi						
OTU_2597	d:Fungi	p:Basidiomycota					
OTU_2594	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolales_Incertae_sedis		
OTU_2588	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales			
OTU_2600	d:Fungi						
OTU_2599	d:Fungi						
OTU_2601	d:Fungi						
OTU_2604	d:Fungi						
OTU_2598	d:Fungi	p:Basidiomycota	c:Agaricostilbomycetes	o:Agaricostilbales	f:Chionosphaeraceae	g:Kurtzmanomyces	
OTU_2603	d:Fungi	p:Ascomycota					
OTU_2606	d:Fungi						
OTU_2587	d:Fungi	p:Basidiomycota					
OTU_2608	d:Fungi						
OTU_2609	d:Fungi						
OTU_2605	d:Fungi	p:Ascomycota					
OTU_2613	d:Fungi						
OTU_2614	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_2611	d:Fungi						
OTU_2617	d:Fungi						
OTU_2602	d:Fungi	p:Basidiomycota					
OTU_2616	d:Fungi	p:Ascomycota					
OTU_2618	d:Fungi						
OTU_2607	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	s:Podospora_communis
OTU_2612	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_2619	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Russulales	f:Stereaceae	g:Stereum	
OTU_2615	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolales_Incertae_sedis	g:Rhodotorula	s:Rhodotorula_lamellibrachiae
OTU_2610	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Claroideoglomeraceae	g:Claroideoglomus	
OTU_2620	d:Fungi						
OTU_2626	d:Fungi						
OTU_2625	d:Fungi						
OTU_2624	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Phaeosphaeria	s:Phaeosphaeria_eustoma
OTU_2627	d:Fungi						
OTU_2622	d:Fungi	p:Ascomycota	c:Saccharomycetes	o:Saccharomycetales			
OTU_2623	d:Fungi						
OTU_2621	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolales_Incertae_sedis		
OTU_2628	d:Fungi	p:Ascomycota					
OTU_2631	d:Fungi	p:Basidiomycota	c:Microbotryomycetes	o:Sporidiobolales	f:Sporidiobolales_Incertae_sedis		
OTU_2633	d:Fungi						
OTU_2632	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Xylariaceae	g:Hypoxylon	
OTU_2636	d:Fungi						
OTU_2630	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales			
OTU_2637	d:Fungi						
OTU_2638	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae		
OTU_2641	d:Fungi						
OTU_2629	d:Fungi						
OTU_2640	d:Fungi	p:Basidiomycota					
OTU_2634	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Glomus	
OTU_2642	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Hymenochaetales	f:Schizoporaceae	g:Hyphodontia	
OTU_2635	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales			
OTU_2639	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales			
OTU_2643	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Hymenochaetales	f:Schizoporaceae	g:Hyphodontia	s:Hyphodontia_alutaria
OTU_2645	d:Fungi						
OTU_2644	d:Fungi						
OTU_2648	d:Fungi						
OTU_2647	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_2649	d:Fungi	p:Basidiomycota	c:Agaricomycetes				
OTU_2651	d:Fungi						
OTU_2650	d:Fungi	p:Ascomycota	c:Taphrinomycetes	o:Taphrinales	f:Taphrinaceae	g:Taphrina	s:Taphrina_communis
OTU_2652	d:Fungi	p:Ascomycota	c:Sordariomycetes				
OTU_2646	d:Fungi						
OTU_2654	d:Fungi	p:Ascomycota					
